date,rx,tx,duration,fault,ts-ticketinfo-service_cpu,ts-ticketinfo-service_memory
2024-03-16 13:23:32,132250.33333333334,130227.0,989.7058823529412,1,1.1033390105755092,675786752
2024-03-16 13:23:43,189924.66666666663,186907.66666666663,989.7058823529412,1,1.1033390105755092,675786752
2024-03-16 13:23:54,231630.3333333333,231348.66666666663,392.6861702127656,1,1.1033390105755092,675786752
2024-03-16 13:24:06,277725.6666666667,289189.0,392.6861702127656,1,0.9086425828371208,675786752
2024-03-16 13:24:17,316984.6666666667,509609.3333333333,294.23828125000017,1,0.8409098269101245,675786752
2024-03-16 13:24:28,139995.66666666666,148469.0,294.23828125000017,1,169.06151643966342,719626240
2024-03-16 13:24:39,248088.66666666663,255307.0,294.23828125000017,1,169.06151643966342,719626240
2024-03-16 13:24:50,251523.3333333333,254171.66666666663,252.0714285714283,1,169.06151643966342,719626240
2024-03-16 13:25:01,223327.3333333333,229329.0,252.0714285714283,1,169.06151643966342,719626240
2024-03-16 13:25:12,157060.66666666666,147701.66666666666,252.0714285714283,1,169.0615164396634,719626240
2024-03-16 13:25:23,268190.3333333333,260438.66666666663,241.49151436031332,1,169.06151643966342,719626240
2024-03-16 13:25:34,171065.66666666666,168880.0,241.49151436031332,1,204.1856341639292,728453120
2024-03-16 13:25:45,157080.66666666666,166544.33333333334,241.49151436031332,1,204.1856341639292,728453120
2024-03-16 13:25:56,218453.0,241114.0,233.86341698841687,1,204.1856341639292,728453120
2024-03-16 13:26:07,121507.0,119617.66666666669,233.86341698841687,1,204.1856341639292,728453120
2024-03-16 13:26:18,116719.0,311597.3333333333,230.052204176334,1,67.09926666666664,728453120
2024-03-16 13:26:29,84658.0,81724.0,230.052204176334,1,140.973629488018,724258816
2024-03-16 13:26:40,154510.33333333334,166427.0,230.052204176334,1,140.973629488018,724258816
2024-03-16 13:26:51,122178.0,143322.0,226.60992217898823,1,140.973629488018,724258816
2024-03-16 13:27:03,81081.66666666667,91077.33333333331,226.60992217898823,1,140.973629488018,724258816
2024-03-16 13:27:14,118327.66666666669,125135.0,226.60992217898823,1,140.973629488018,724258816
2024-03-16 13:27:25,166092.33333333334,175154.66666666666,224.525352112676,1,157.73168874899358,724258816
2024-03-16 13:27:36,210548.66666666663,215224.66666666663,224.525352112676,1,122.90263006018635,717864960
2024-03-16 13:27:47,107009.0,295856.0,223.0339566929133,1,122.90263006018635,717864960
2024-03-16 13:27:58,129811.0,129874.0,223.0339566929133,1,122.90263006018635,717864960
2024-03-16 13:28:09,193016.3333333333,210166.66666666663,223.0339566929133,1,122.90263006018635,717864960
2024-03-16 13:28:20,83789.66666666667,83957.66666666667,221.68981481481475,1,86.36672604969745,717864960
2024-03-16 13:28:31,150023.66666666666,158823.66666666666,221.68981481481475,1,82.33842891581804,707104768
