date,rx,tx,duration,fault,ts-station-service_cpu,ts-station-service_memory
2024-03-16 13:23:32,129759.0,144596.33333333334,24.963541666666668,1,1.1802677688920808,675229696
2024-03-16 13:23:43,168022.33333333334,193411.66666666663,24.963541666666668,1,0.9554103663102382,675229696
2024-03-16 13:23:54,162801.33333333334,192610.0,24.963541666666668,1,0.6439000000000306,675229696
2024-03-16 13:24:06,178841.33333333334,204108.3333333333,24.3889383683648,1,124.28846737341512,721616896
2024-03-16 13:24:17,192312.66666666663,225870.3333333333,24.3889383683648,1,124.28846737341512,721616896
2024-03-16 13:24:28,130288.66666666669,281438.3333333333,24.322637106184363,1,124.28846737341512,721616896
2024-03-16 13:24:39,161396.66666666666,179835.33333333334,24.322637106184363,1,124.28846737341512,721616896
2024-03-16 13:24:50,151517.66666666666,165341.66666666666,24.322637106184363,1,95.9501789436624,721616896
2024-03-16 13:25:01,142402.66666666666,154304.33333333334,24.50963137472284,1,305.7785124089872,736632832
2024-03-16 13:25:12,127519.66666666669,137602.66666666666,24.50963137472284,1,305.7785124089872,736632832
2024-03-16 13:25:23,215244.3333333333,220228.66666666663,24.50963137472284,1,305.7785124089872,736632832
2024-03-16 13:25:34,133066.0,143153.0,24.444223732357557,1,305.7785124089872,736632832
2024-03-16 13:25:45,147321.0,148621.0,24.444223732357557,1,372.5015288048384,736632832
2024-03-16 13:25:56,159370.0,289643.0,24.40503666055657,1,372.5015288048384,736632832
2024-03-16 13:26:07,109255.33333333331,115385.33333333331,24.40503666055657,1,258.5901253977167,717709312
2024-03-16 13:26:18,109264.0,120682.66666666669,24.40503666055657,1,258.5901253977167,717709312
2024-03-16 13:26:29,76969.33333333333,76728.66666666667,24.37737505163156,1,258.5901253977167,717709312
2024-03-16 13:26:40,153312.0,161912.66666666666,24.37737505163156,1,258.5901253977167,717709312
2024-03-16 13:26:51,93598.66666666669,99316.0,24.37737505163156,1,116.05976337344528,717709312
2024-03-16 13:27:03,59150.66666666666,62033.66666666666,24.36112600536193,1,117.23511902077333,692600832
2024-03-16 13:27:14,115199.0,118727.66666666669,24.36112600536193,1,117.23511902077333,692600832
2024-03-16 13:27:25,164364.33333333334,164642.33333333334,24.36112600536193,1,117.23511902077333,692600832
2024-03-16 13:27:36,201259.3333333333,207975.66666666663,24.347064814331222,1,117.23511902077333,692600832
2024-03-16 13:27:47,107126.66666666669,114601.0,24.347064814331222,1,117.23511902077333,692600832
2024-03-16 13:27:58,100437.33333333331,224850.0,24.335882133532262,1,114.0216096400389,676044800
2024-03-16 13:28:09,154615.0,167915.0,24.335882133532262,1,114.0216096400389,676044800
2024-03-16 13:28:20,85275.33333333333,90516.0,24.335882133532262,1,114.0216096400389,676044800
2024-03-16 13:28:31,152296.0,161385.66666666666,24.32696904881731,1,114.0216096400389,676044800
2024-03-16 13:28:42,94898.66666666669,96402.33333333331,24.32696904881731,1,114.0216096400389,676044800
2024-03-16 13:28:53,151538.66666666666,164298.33333333334,24.32696904881731,1,114.0216096400389,676044800
